ChangeID|RequestID|ChangeReasonID|RevDate
52|87|6|5/26/2017 12:00:00 AM
939|50771|6|9/29/2017 12:00:00 AM
2835|102217|1|3/9/2018 12:00:00 AM
8004|139486|6|7/13/2018 12:00:00 AM
31240|709978|6|1/10/2020 12:00:00 AM
142907|1159298|6|5/28/2021 12:00:00 AM
156604|1179067|6|6/25/2021 12:00:00 AM
179871|1289953|6|9/24/2021 12:00:00 AM
