PIESReferenceFieldCodeId|PIESFieldId|PIESCodeId|PIESExpiCodeId|ReferenceNotes
1663|91|512|33|
1664|91|513|33|
1665|91|514|33|
1666|91|515|33|
1667|91|516|33|
1668|91|517|33|
1669|91|518|33|
1670|91|519|33|
1671|91|520|33|
1672|91|521|33|
1673|91|522|33|
1674|91|523|33|
1675|91|524|33|
1676|91|525|33|
1677|91|526|33|
1678|91|527|33|
1679|91|528|33|
1680|91|529|33|
1681|91|472|33|
1682|91|473|33|
1683|91|474|33|
1684|91|475|33|
1685|91|476|33|
1686|91|477|33|
1687|91|478|33|
1688|91|479|33|
1689|91|480|33|
1690|91|481|33|
1691|91|482|33|
1692|91|483|33|
1693|91|484|33|
1694|20|487||
1695|20|488||
1696|20|489||
1697|20|490||
1698|20|491||
1699|20|492||
1700|20|493||
1701|20|494||
1702|20|495||
1703|20|496||
1704|20|497||
1705|20|498||
1706|20|499||
1707|20|500||
1708|20|501||
1709|20|502||
1710|20|503||
1711|20|504||
1712|20|505||
1713|20|506||
1714|20|507||
1715|20|508||
1716|20|509||
1717|20|510||
1718|20|511||
1719|20|512||
1720|20|513||
1721|20|514||
1722|20|515||
1723|20|516||
1724|20|517||
1725|20|518||
1726|20|519||
1727|20|520||
1728|20|521||
1729|20|522||
1730|20|523||
1731|20|524||
1732|20|525||
1733|20|526||
1734|20|527||
1735|20|528||
1736|20|529||
1737|20|472||
1738|20|473||
1739|20|474||
1740|20|475||
1741|20|476||
1742|20|477||
1743|20|478||
1744|20|479||
1745|20|480||
1746|20|481||
1747|20|482||
1748|20|483||
1749|20|484||
1750|35|487||
1751|35|488||
1752|35|489||
1753|35|490||
1754|35|491||
1755|35|492||
1756|35|493||
1757|35|494||
1758|35|495||
1759|35|496||
1760|35|497||
1761|35|498||
1762|35|499||
1763|35|500||
1764|35|501||
1765|35|502||
1766|35|503||
1767|35|504||
1768|35|505||
1769|35|506||
1770|35|507||
1771|35|508||
1772|35|509||
1773|35|510||
1774|35|511||
1775|35|512||
1776|35|513||
1777|35|514||
1778|35|515||
1779|35|516||
1780|35|517||
1781|35|518||
1782|35|519||
1783|35|520||
1784|35|521||
1785|35|522||
1786|35|523||
1787|35|524||
1788|35|525||
1789|35|526||
1790|35|527||
1791|35|528||
1792|35|529||
1793|35|472||
1794|35|473||
1795|35|474||
1796|35|475||
1797|35|476||
1798|35|477||
1799|35|478||
1800|35|479||
1801|35|480||
1802|35|481||
1803|35|482||
1804|35|483||
1805|35|484||
1806|112|487||
1807|112|488||
1808|112|489||
1809|112|490||
1810|112|491||
1811|112|492||
1812|112|493||
1813|112|494||
1814|112|495||
1815|112|496||
1816|112|497||
1817|112|498||
1818|112|499||
1819|112|500||
1820|112|501||
1821|112|502||
1822|112|503||
1823|112|504||
1824|112|505||
1825|112|506||
1826|112|507||
1827|112|508||
1828|112|509||
1829|112|510||
1830|112|511||
1831|112|512||
1832|112|513||
1833|112|514||
1834|112|515||
1835|112|516||
1836|112|517||
1837|112|518||
1838|112|519||
1839|112|520||
1840|112|521||
1841|112|522||
1842|112|523||
1843|112|524||
1844|112|525||
1845|112|526||
1846|112|527||
1847|112|528||
1848|112|529||
1849|112|472||
1850|112|473||
1851|112|474||
1852|112|475||
1853|112|476||
1854|112|477||
1855|112|478||
1856|112|479||
1857|112|480||
1858|112|481||
1859|112|482||
1860|112|483||
1861|112|484||
1862|97|530||
1863|66|531||Indicates the condition of the part (New, Remanufactured, Refurbished, Used)
1864|115|329|49|A used product that is typically tested for defects, which only have defective internal and/or external parts replaced and is tested to perform as new
1865|115|327|49|A used product that is tested for defects, which is completely disassembled, cleaned, replaced with new internal and/or external parts, and is tested to perform as new.
1866|115|532|49|A 100% brand new product
1867|115|533|49|A used product that has not been tested for defects, and is sold as is.
1868|116|537|28|
1869|116|536|28|
1870|116|535|28|
1871|116|534|28|
1872|47|538||Cost Price to Distributor (not including Rebates or other special discounts)
1873|66|554||The estimated lead-time from date of order to shipment, in elapsed calendar days, as a snapshot in time. This estimate is not a guarantee.
1874|47|539||Cost Price to Vendor for Core
1875|47|540||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1876|47|541||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1877|47|542||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1878|47|543||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1879|47|544||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1880|47|545||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1881|47|546||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1882|47|547||Typically a Descending List of Pricing Based upon Package Levels (i.e. Each, Carton, Pallet, Less Than Truckload, Truckload, Mixed-Dock.  Check with Trading Partner or Business System Vendor for specific definitions
1883|47|548||User-defined Pricing Fields.  Check with Trading Partner or Business System Vendor for specific definitions.
1884|47|549||User-defined Pricing Fields.  Check with Trading Partner or Business System Vendor for specific definitions.
1885|47|550||User-defined Pricing Fields.  Check with Trading Partner or Business System Vendor for specific definitions.
1886|47|551||User-defined Pricing Fields.  Check with Trading Partner or Business System Vendor for specific definitions.
1887|47|552||User-defined Pricing Fields.  Check with Trading Partner or Business System Vendor for specific definitions.
1888|47|553||User-defined Pricing Fields.  Check with Trading Partner or Business System Vendor for specific definitions.
1889|47|566||Additional Core Price Fields.  Check with Trading Partner or Business System Vendor for specific definitions
1890|47|565||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1892|66|567||Pack Size (Quantity of Eaches) in which item must be returned.
1893|66|568||Logical or Physical warehouse information. Not required if all items ship with same lead time. Required if lead times vary across different items based on pick time, ship time, transit times, make times, etc.
1894|66|569||Used in Vendor Managed Inventory Files - 3 character Alphanumeric Trading Partner Defined Code
1896|47|556||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1897|47|557||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1898|47|558||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1899|47|559||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1900|47|560||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1901|47|561||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1902|47|562||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1903|47|563||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1904|47|564||Additional Core Price Field.  Check with Trading Partner or Business System Vendor for specific definitions
1905|66|572||Enter appropriate export control classification number
1906|117|575|51|
1907|117|577|51|
1908|117|576|51|
1909|117|573|51|
1910|117|574|51|
1911|118|585|50|
1912|118|583|50|
1913|118|584|50|
