"BrandID"|"BrandName"|"BrandOEMFlag"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LCLP"|"Silentone"|"Apr 02, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LCLQ"|"Max Fit"|"Apr 02, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJR"|"OBD-II Super Select Plus"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJS"|"OBD-II Standard Duty"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJT"|"OBD-II Select Plus"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJV"|"OBD-II By Design"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJW"|"OBD-II By Design Enhanced"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJX"|"Pre-OBD-II Super Duty"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJY"|"Pre-OBD-II Standard Duty"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJZ"|"Pre-OBD-II Medium Duty"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFKB"|"Pre-OBD-II Heavy Duty"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFKC"|"Pre-OBD-II"|"Aug 01, 2025"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFKD"|"200 Series"|"Aug 01, 2025"
